"Access Denied";"Capaian ditolak"
"click here";"Klik di sini"
Accreditation;Akreditasi
"Business Information";"Maklumat Perniagaan"
"Seller Type";"Jenis Penjual"
"Owner Name";"Nama pemilik"
"Store Name";"Nama kedai"
"Primary Address";"Alamat utama"
"Other Address";"Alamat lain"
"Contact Number";"Nombor telefon"
"Application Status";"Semakan Status Permohonan"
You;Anda
Submit;menyerahkan
"Mark as Complete";"Tandakan sebagai lengkap"
"Mark as Incomplete";"Tandakan sebagai tidak lengkap"
"Bank Information";"Maklumat Bank"
"Bank Name";"Nama Bank"
"Account Title";"Tajuk akaun"
"Account Name";"Nama akaun"
"Account Number";"Nombor akaun"
"Legal Files";"Fail undang"
File;Fail
"Date Uploaded";"Tarikh muat naik"
Remarks;Kata-kata
"DTI/SEC Permit";"Permit DTI/SEC"
"Mayor's Permit";"Datuk bandar Permit"
"BIR Permit";"BIR Permit"
"FORM MA11501 Permit";"Borang MA11501 Permit"
Others;Lain
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Pos
Passport;Pasport
"Driver's License";"Lesen memandu"
PRC;RRC
"Voter's ID";"ID pengundi"
"School ID";"ID sekolah"
TIN;TIN
"Valid ID";"ID sah"
"Download this file";"Muat turun fail ini"
"Update Accreditation Type";"Jenis pengiktirafan pengemaskinian"
Okay;Okay
Accreditations;Akreditasi
"Select Status";"Pilih Status"
Search;Cari
Status;Status
"Quick Info";"Maklumat pantas"
Name:;Nama:
Phone:;Telefon:
Email:;E-mel:
"Affiliate Accreditation";"Affiliate akreditasi"
"Personal Information";"Maklumat peribadi"
"Identification Document";"Dokumen pengenalan"
Username;Nama pengguna
Password;Kata laluan
"Sign In";"daftar masuk"
"Manage Administrator";"Menguruskan pentadbir"
"Register Administrator";"Daftar pentadbir"
"Enter Username here";"Masukkan nama pengguna di sini"
"Enter Password here";"Masukkan kata laluan di sini"
"Change Password";"Tukar kata laluan"
"Confirm Password";"Sahkan kata laluan"
"Enter Confirm Password here";"Sahkan kata laluan masukkan di sini"
"First Name";"Nama pertama"
"Enter First name here";"Masukkan nama pertama di sini"
"Last Name";"Nama bapa/keluarga"
"Enter Last name here";"Masukkan nama terakhir di sini"
"User Role";"Peranan pengguna"
"Select Role";"Pilih peranan"
Register;Mendaftar
"Manage Roles";"Uruskan peranan"
ID;ID
Fullname;Nama penuh
Role;Peranan
Activation;Pengaktifan
"Enter your new password here";"Masukkan kata laluan baru anda di sini"
"Confirm your new password here";"Sahkan kata laluan baru anda di sini"
Cancel;Batal
"Manually Created Accounts";"Akaun-akaun yang dibuat secara manual"
"Number of Manual Accounts: 227";"Bilangan akaun secara Manual: 227"
"Search By Name / ID No. / Business Name";"Cari mengikut nama / ID No. / nama perniagaan"
"Accreditation Status:";"Status pengiktirafan:"
Unaccredited;Unaccredited
Accredited;Bertauliah
All;Semua
"Created By:";"Dicipta oleh:"
--;--
"George Paulino";"George Paulino"
