"Access Denied"; "Akses ditolak"
"click here"; "Klik di sini"
Accreditation;Akreditasi
"Business Information"; "Informasi bisnis"
"Seller Type"; "Jenis Penjual"
"Owner Name"; "Nama pemilik"
"Store Name"; "Nama toko"
"Primary Address"; "Alamat primer"
"Other Address"; "Alamat lain"
"Contact Number"; "Nomor kontak"
"Application Status"; " aplikasi statusnya"
You;Anda
Submit;Kirim
"Mark as Complete"; "Tandai sebagai lengkap"
"Mark as Incomplete"; "Tandai sebagai tidak lengkap"
"Bank Information"; "Informasi Bank"
"Bank Name"; "Nama Bank"
"Account Title"; "Rekening judul"
"Account Name"; "Nama account"
"Account Number"; "Nomor rekening"
"Legal Files"; "File hukum"
File;File
"Date Uploaded"; "Tanggal upload"
Remarks;Komentar
"DTI/SEC Permit"; "Izin DTI/SEC"
"Mayor's Permit"; "Walikota izin"
"BIR Permit"; "BIR izin"
"FORM MA11501 Permit"; "BENTUK MA11501 izin"
Others;Lain
SSS;SSS
"PAG IBIG"; "PAG IBIG"
Postal;Pos
Passport;Paspor
"Driver's License"; "SIM"
PRC;RRC
"Voter's ID"; "Pemilih ID"
"School ID"; "Sekolah ID"
TIN;TIN
"Valid ID"; "Valid ID"
"Download this file"; "Download file ini"
"Update Accreditation Type"; "Memperbarui jenis akreditasi"
Okay;Oke
Accreditations;Akreditasi
"Select Status"; "Pilih statusnya"
Search;Cari
Status;statusnya
"Quick Info"; "Info cepat"
Name:;Nama:
Phone:;Telepon:
Email:;Email:
"Affiliate Accreditation"; "Afiliasi akreditasi"
"Personal Information"; "Informasi pribadi"
"Identification Document"; "Dokumen identifikasi"
Username;Nama pengguna
Password;Sandi
"Sign In"; "Tandatangan"
"Manage Administrator"; "Mengelola pengelola"
"Register Administrator"; "Mendaftar pengelola"
"Enter Username here"; "Masukkan nama pengguna di sini"
"Enter Password here"; "Masukkan Sandi sini"
"Change Password"; "Ubah sandi"
"Confirm Password"; "Konfirmasi Sandi "
"Enter Confirm Password here"; "Masukkan Confirm Sandi  di sini"
"First Name"; "Nama pertama"
"Enter First name here"; "Masukkan nama pertama di sini"
"Last Name"; "Nama belakang"
"Enter Last name here"; "Masukkan nama terakhir di sini"
"User Role"; "Peran pengguna"
"Select Role"; "Pilih peran"
Register;Daftar
"Manage Roles"; "Mengelola peran"
ID;ID
Fullname;Lengkap
Role;Peran
Activation;Aktivasi
"Enter your new password here"; "Masukkan sandi baru di sini"
"Confirm your new password here"; "Konfirmasi  sandi  baru di sini"
Cancel;Batal
"Manually Created Accounts"; "Akun dibuat secara manual"
"Number of Manual Accounts: 227"; "Jumlah account Manual: 227"
"Search By Name / ID No. / Business Name"; "Cari oleh nama / ID No. / bisnis nama"
"Accreditation Status:"; "Status akreditasi:"
Unaccredited;Unaccredited
Accredited;Terakreditasi
All;Semua
"Created By:"; "Dibuat oleh:"
--;--
"George Paulino"; "George Paulino"
"Ryan gVay"; "Ryan gVay"
